taxID	FSLB_count	GP143_count	GP157_count	GPR1_count	Galpha_count	Gbeta_count	Ggamma_count	Mth_count	Nematode_count	Olfactory_count	RBP1_count	STE2_count	STE3_count	TBP_count	Vomeronasal1_count	Vomeronasal2_count	cAMP_count	classA_count	classB1_count	classB2_count	classC_count	classF_count	classT_count
1955775	1	0	0	2	3	1	1	0	0	0	3	1	1	1	0	0	1	0	0	0	0	0	0
195883	0	1	0	0	7	3	4	10	0	0	4	0	0	3	0	0	0	118	8	3	11	5	0
196109	1	0	0	6	3	1	1	0	0	0	3	0	1	1	0	0	1	0	0	0	0	0	0
1961834	0	1	1	0	13	5	10	0	0	41	1	0	0	3	0	0	0	232	15	13	16	8	0
1964551	1	0	0	2	3	1	1	0	0	0	3	1	1	1	0	0	2	0	0	0	0	0	0
1965070	0	0	0	0	9	3	4	17	0	0	4	0	0	7	0	0	0	199	6	7	17	4	0
1965284	0	0	0	2	3	1	1	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	0
197152	0	1	0	0	9	3	3	42	0	0	3	0	0	2	0	0	0	114	7	13	13	5	0
1973307	0	0	0	1	18	2	2	0	0	0	3	0	6	1	0	0	0	0	0	0	0	0	0
1974281	0	0	0	6	6	1	2	0	0	0	9	2	2	2	0	0	0	0	0	0	0	0	0
1979941	0	0	0	0	14	2	3	4	0	0	5	0	0	4	0	0	0	137	7	9	10	4	0
198940	0	1	1	0	14	5	9	0	0	28	1	0	0	3	0	0	0	246	13	17	15	9	4
200361	0	0	0	0	3	1	2	0	0	0	20	0	0	3	0	0	1	0	0	0	0	0	0
2004951	1	0	0	2	3	1	1	0	0	0	3	1	1	1	0	0	2	0	0	0	0	0	0
2004952	1	0	0	2	3	1	1	0	0	0	3	1	1	1	0	0	2	0	0	0	0	0	0
200917	0	1	0	0	6	3	4	8	0	0	4	0	0	4	0	0	0	92	3	5	12	4	0
2010991	1	0	0	5	4	1	1	0	0	0	3	0	1	1	0	0	2	0	0	0	0	0	0
2011161	0	0	0	0	52	3	9	0	8	0	7	0	0	4	0	0	0	663	10	35	17	4	0
201153	0	0	0	0	2	2	3	0	0	0	3	0	0	3	0	0	0	0	0	0	6	0	0
201217	0	0	0	1	16	1	1	0	0	0	3	0	6	2	0	0	0	0	0	0	0	0	0
201329	0	1	1	0	15	5	8	0	0	31	1	0	0	3	0	0	0	236	14	11	15	10	4
2015173	0	1	0	0	5	3	4	14	0	0	3	0	0	3	0	0	0	68	5	4	10	6	0
2018661	0	0	0	0	30	2	4	0	60	0	4	0	0	4	0	0	0	215	5	3	15	8	0
202257	0	1	1	0	22	5	16	0	0	356	3	0	0	2	5	0	0	241	13	34	21	11	6
2022672	0	0	0	0	1	1	3	0	0	0	19	0	0	2	0	0	1	0	0	0	0	0	0
2025994	1	0	0	3	3	1	1	0	0	0	3	1	0	1	0	0	3	0	0	0	0	0	0
2028339	0	0	0	1	2	1	1	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0
202946	0	1	1	0	18	5	12	0	0	95	3	0	0	3	0	0	0	308	18	24	18	12	3
2030778	1	0	0	2	2	1	1	0	0	0	3	1	1	1	0	0	2	0	0	0	0	0	0
2038154	0	1	0	0	9	3	2	12	0	0	3	0	0	3	0	0	0	54	4	7	9	5	0
2039874	1	0	0	2	3	1	1	0	0	0	3	1	1	1	0	0	3	0	0	0	0	0	0
2039875	1	0	0	2	2	1	1	0	0	0	2	1	1	1	0	0	3	0	0	0	0	0	0
2041049	1	0	0	3	4	1	1	0	0	0	3	1	1	1	0	0	3	0	0	0	0	0	0
2042821	1	0	0	5	3	1	1	0	0	0	3	1	2	1	0	0	3	0	0	0	0	0	0
205130	0	1	1	0	24	8	22	0	0	237	3	0	0	4	3	42	0	498	24	38	36	14	2
2053667	0	1	0	0	5	1	2	5	0	0	3	0	0	3	0	0	0	45	5	2	8	2	0
2056292	0	0	0	1	13	1	1	0	0	0	4	0	9	2	0	0	0	0	0	0	0	0	0
205686	1	0	0	4	5	1	1	0	0	0	3	1	1	1	0	0	1	0	0	0	0	0	0
205917	0	0	0	0	11	1	2	0	0	0	5	0	7	1	0	0	0	0	0	0	0	0	0
205924	7	0	0	0	7	2	2	0	0	0	4	0	0	1	0	0	0	0	0	0	5	0	0
2059318	1	0	0	0	3	1	1	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0
2060905	1	0	0	1	3	1	1	0	0	0	3	1	1	1	0	0	1	0	0	0	0	0	0
2060906	1	0	0	1	3	1	1	0	0	0	3	1	1	1	0	0	1	0	0	0	0	0	0
2060973	1	0	0	2	4	1	2	0	0	0	3	1	1	1	0	0	6	0	0	0	0	0	0
206335	0	0	0	0	23	1	2	0	0	0	3	0	7	1	0	0	0	0	0	0	0	0	0
206669	0	2	0	0	9	2	4	41	0	0	2	0	0	2	0	1	5	608	12	82	45	5	0
2070412	1	0	0	4	3	1	1	0	0	0	3	1	1	1	0	0	2	0	0	0	0	0	0
2070414	1	0	0	3	3	1	1	0	0	0	3	1	1	1	0	0	2	0	0	0	0	0	0
2070753	0	0	0	0	3	1	1	0	0	0	5	1	1	1	0	0	0	0	0	0	0	0	0
2070801	1	0	0	0	3	1	1	0	0	0	3	1	1	1	0	0	0	0	0	0	0	0	0
2072580	0	0	0	0	14	2	3	2	0	1	3	0	0	2	0	0	0	674	8	14	12	5	0
207650	0	1	0	0	5	3	4	7	0	0	3	0	0	3	0	0	0	67	5	3	10	3	0
2078593	1	0	0	5	3	1	1	0	0	0	4	1	1	1	0	0	2	0	0	0	0	0	0
